"Län","Gröda","Variabel","Tabelluppgift","2021","2022","2023","2024","2025"
"00 Riket","Höstvete","Areal, hektar","Värde",436330,417760,458750,413830,470840
"00 Riket","Höstvete","Totalskörd, ton","Värde",2877700,3018000,2635900,2708400,3581800
"00 Riket","Vårvete","Areal, hektar","Värde",42800,43810,48780,61190,51690
"00 Riket","Vårvete","Totalskörd, ton","Värde",150100,210700,132300,222200,243100
"00 Riket","Råg","Areal, hektar","Värde",25320,20760,26740,27480,29090
"00 Riket","Råg","Totalskörd, ton","Värde",144500,129200,139400,155500,183600
"00 Riket","Höstkorn","Areal, hektar","Värde",22590,21170,18930,19780,21750
"00 Riket","Höstkorn","Totalskörd, ton","Värde",125800,130200,98100,111000,151600
"00 Riket","Vårkorn","Areal, hektar","Värde",247910,253630,240770,264480,229860
"00 Riket","Vårkorn","Totalskörd, ton","Värde",934600,1379300,757400,1152900,1308100
"00 Riket","Havre","Areal, hektar","Värde",166750,153760,139460,157430,146990
"00 Riket","Havre","Totalskörd, ton","Värde",551200,734800,411500,622500,718600
"00 Riket","Rågvete","Areal, hektar","Värde",29710,28640,29150,24380,33740
"00 Riket","Rågvete","Totalskörd, ton","Värde",153400,162500,120200,124700,199000
"00 Riket","Höstrågvete","Areal, hektar","Värde",28180,26930,27290,22300,31580
"00 Riket","Höstrågvete","Totalskörd, ton","Värde",148600,154800,115400,117600,189800
"00 Riket","Vårrågvete","Areal, hektar","Värde",1530,1710,1860,2080,2160
"00 Riket","Vårrågvete","Totalskörd, ton","Värde",4700,7700,4800,7100,9300
"00 Riket","Blandsäd","Areal, hektar","Värde",10190,12170,6610,11470,8620
"00 Riket","Blandsäd","Totalskörd, ton","Värde",28200,46300,17500,37000,34200
"00 Riket","Majs","Areal, hektar","Värde",1740,1770,1970,2290,2450
"00 Riket","Majs","Totalskörd, ton","Värde",14900,12200,15700,15500,17800
"00 Riket","Spannmål totalt","Areal, hektar","Värde",983340,953470,971150,982350,995040
"00 Riket","Spannmål totalt","Totalskörd, ton","Värde",4980300,5823200,4328100,5149800,6437800
"00 Riket","Ärter","Areal, hektar","Värde",22040,23810,26780,25630,23370
"00 Riket","Ärter","Totalskörd, ton","Värde",55900,86000,54900,74000,85000
"00 Riket","Åkerbönor","Areal, hektar","Värde",20240,22160,19960,16210,14970
"00 Riket","Åkerbönor","Totalskörd, ton","Värde",48800,78600,48300,51700,56600
"00 Riket","Höstraps","Areal, hektar","Värde",96990,110400,108260,75110,95480
"00 Riket","Höstraps","Totalskörd, ton","Värde",328100,387600,277300,239300,363500
"00 Riket","Vårraps","Areal, hektar","Värde",6510,14530,12160,17860,14590
"00 Riket","Vårraps","Totalskörd, ton","Värde",12500,36900,25700,42800,35900
"00 Riket","Höstrybs","Areal, hektar","Värde",1170,460,540,280,450
"00 Riket","Höstrybs","Totalskörd, ton","Värde",1600,500,600,..,..
"00 Riket","Vårrybs","Areal, hektar","Värde",1280,1990,1200,1290,900
"00 Riket","Vårrybs","Totalskörd, ton","Värde",1300,2500,1200,1500,1100
"00 Riket","Stråsädesgrödor (exkl. majs) till grönfoder","Areal, hektar","Värde",44580,32210,57870,37020,35630
"00 Riket","Stråsädesgrödor (exkl. majs) till grönfoder","Totalskörd, ton","Värde",128400,113000,167900,121000,133900
"00 Riket","Majs till grönfoder","Areal, hektar","Värde",19220,20470,23780,27810,35200
"00 Riket","Majs till grönfoder","Totalskörd, ton","Värde",244600,220600,288800,314600,368300
"00 Riket","Andra ettåriga grödor till grönfoder","Areal, hektar","Värde",25350,23870,29930,27410,23310
"00 Riket","Andra ettåriga grödor till grönfoder","Totalskörd, ton","Värde",117400,106400,135000,125000,82400
"00 Riket","Oljelin","Areal, hektar","Värde",3710,5110,3580,2190,2080
"00 Riket","Oljelin","Totalskörd, ton","Värde",5500,8700,4000,4000,4200
"00 Riket","Matpotatis","Areal, hektar","Värde",14940,14910,14450,14480,15540
"00 Riket","Matpotatis","Totalskörd, ton","Värde",457400,499900,458900,476500,546000
"00 Riket","Potatis för stärkelse","Areal, hektar","Värde",8810,8500,8040,9100,10540
"00 Riket","Potatis för stärkelse","Totalskörd, ton","Värde",368600,352300,351000,404000,454600
"00 Riket","Sockerbetor","Areal, hektar","Värde",28600,28909,28750,28429,25378
"00 Riket","Sockerbetor","Totalskörd, ton","Värde",2046600,1871400,1743600,2119000,2036900
"00 Riket","Slåttervall, första skörd","Areal, hektar","Värde",820530,838680,831180,832310,836530
